Sales_Key,Date_Key,Marketplace_Key,Product_Key,Account Title,Taxes,Orders,Units,Refunded,Refund %,Unit Session %,Promo Units,Organic Units,Per Unit Revenue,Revenue,COGS,FBA Fees,Promo Amount,Sessions,Page Views,Impressions,Clicks,PPC Orders,PPC Sales,PPC Cost,PPC Conv,OOE,Net Profit,Net Margin,Net ROI
1,1,1,1,[ UK ] Aava,-50.34,17,17,0,0.0,0.0,0,17,17.88,303.94,-88.63,-90.5,-5.13,0,0,3423,13,2,29.36,-13.06,0.1538,0,56.28,0.1852,0.3142
2,2,1,1,[ UK ] Aava,-58.89,20,20,0,0.0,0.0,0,20,17.63,352.7,-104.33,-104.23,-6.18,0,0,2786,7,0,0.0,-7.33,0.0,0,71.73,0.2034,0.3439
3,3,1,1,[ UK ] Aava,-72.41,18,24,0,0.0,0.0,0,24,18.45,442.79,-125.2,-128.88,-48.77,0,0,2927,7,1,14.69,-6.15,0.1429,0,61.37,0.1386,0.2416
4,4,1,1,[ UK ] Aava,-41.43,13,14,0,0.0,0.0,0,14,17.93,251.01,-73.03,-74.12,-6.42,0,0,3584,16,2,44.07,-16.51,0.125,0,39.49,0.1573,0.2684
5,5,1,1,[ UK ] Aava,-47.04,16,16,0,0.0,0.0,0,16,17.69,282.96,-83.34,-83.49,-4.76,0,0,4329,7,0,0.0,-4.47,0.0,0,59.86,0.2116,0.3588
6,6,1,1,[ UK ] Aava,-38.12,14,14,1,0.0714,0.0,0,14,17.69,229.93,-67.53,-70.87,-3.4,0,0,3918,22,0,0.0,-25.81,0.0,0,24.2,0.1053,0.1749
7,7,1,1,[ UK ] Aava,-53.58,18,19,0,0.0,0.0,0,19,17.51,332.78,-98.31,-100.01,-3.21,0,0,3767,13,3,46.46,-16.39,0.2308,0,61.28,0.1842,0.309
8,8,1,1,[ UK ] Aava,-32.12,12,12,1,0.0833,0.0,0,12,17.71,194.85,-57.15,-62.2,-2.47,0,0,3794,14,0,0.0,-13.26,0.0,0,27.65,0.1419,0.2317
9,9,1,1,[ UK ] Aava,-24.25,8,8,0,0.0,0.0,0,8,18.15,145.24,-41.51,-45.96,0.0,0,0,3633,10,1,14.61,-15.04,0.1,0,18.48,0.1273,0.2113
10,10,1,1,[ UK ] Aava,-38.49,13,13,0,0.0,0.0,0,13,17.82,231.72,-67.45,-69.28,-6.46,0,0,3867,12,2,29.22,-12.36,0.1667,0,37.68,0.1626,0.2756
